Temperature (T),Mean Accuracy,Std Accuracy,95% CI Lower,95% CI Upper,Min Accuracy,Max Accuracy
7,0.9649999994039535,0.015416668266872687,0.9320312395691872,0.9950520738959312,0.9166666865348816,1.0
10,0.9473958331346511,0.021366868074838032,0.90625,0.9791666865348816,0.8645833134651184,0.9791666865348816
15,0.9375,0.024161281818179257,0.890364584326744,0.9791666865348816,0.8333333134651184,0.9791666865348816
20,0.9232291680574417,0.02266217582038402,0.8695312395691872,0.9583333134651184,0.8541666865348816,0.9583333134651184
5,0.8960416680574417,0.025343987768946877,0.8432291656732559,0.9375,0.8333333134651184,0.9583333134651184
3,0.8898958331346511,0.028346161418229817,0.827864584326744,0.9429687604308128,0.8125,0.9479166865348816
